flight_id,flight_date,month,season,day_of_week,airline,aircraft_type,origin_airport,destination_airport,route,distance_km,scheduled_departure,departure_delay_min,arrival_delay_min,actual_elapsed_min,scheduled_duration_min,delay_cause,cancelled,passengers_onboard,ticket_price_gbp,satisfaction_score
FL12836,2023-03-15,3,Spring,Wednesday,CloudJet,Boeing 787,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,12:25,12.0,12.0,143.0,135,Weather,0,66.0,63.14,3.1
FL14051,2023-03-16,3,Spring,Thursday,PolarAir,Boeing 737,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,07:55,33.0,34.0,188.0,145,Late Aircraft,0,392.0,87.93,2.9
FL10916,2023-03-16,3,Spring,Thursday,Atlantic Wings,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,06:45,19.0,11.0,103.0,85,Weather,0,165.0,49.0,4.4
FL14118,2023-03-16,3,Spring,Thursday,SkyWing Air,,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,09:30,66.0,60.0,500.0,430,Weather,0,112.0,400.03,2.4
FL13847,2023-03-16,3,Spring,Thursday,AeroSwift,Airbus A380,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,18:25,0.0,0.0,439.0,430,On Time,0,193.0,333.63,4.5
FL11332,2023-03-16,3,Spring,Thursday,AeroSwift,Boeing 777,Glasgow,Dublin,Glasgow → Dublin,220,08:00,4.0,5.0,56.0,50,Technical,0,268.0,49.0,3.2
FL12729,2023-03-16,3,Spring,Thursday,NovaStar,Boeing 787,London Heathrow,Dubai,London Heathrow → Dubai,5490,07:45,0.0,7.0,427.0,415,On Time,0,251.0,322.6,4.4
FL14940,2023-03-16,3,Spring,Thursday,NovaStar,Airbus A320,London Heathrow,Dubai,London Heathrow → Dubai,5490,07:30,4.0,17.0,429.0,415,Crew Availability,0,137.0,321.17,3.9
FL12499,2023-03-16,3,Spring,Thursday,CloudJet,Airbus A380,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,15:20,0.0,0.0,133.0,135,On Time,0,298.0,69.69,
FL10672,2023-03-16,3,Spring,Thursday,AeroSwift,Embraer E190,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,14:50,4.0,10.0,764.0,745,Late Aircraft,0,115.0,600.02,3.1
FL11723,2023-03-16,3,Spring,Thursday,AeroSwift,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,14:30,0.0,13.0,154.0,135,On Time,0,62.0,101.42,4.0
FL14664,2023-03-16,3,Spring,Thursday,AeroSwift,Embraer E190,Manchester,Barcelona,Manchester → Barcelona,1440,10:55,6.0,4.0,143.0,130,Security,0,113.0,143.23,4.5
FL12167,2023-03-16,3,Spring,Thursday,Atlantic Wings,Airbus A320,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,09:45,0.0,5.0,423.0,420,On Time,0,98.0,364.53,4.2
FL13463,2023-03-17,3,Spring,Friday,NovaStar,Airbus A320,Bristol,Malaga,Bristol → Malaga,1620,22:00,0.0,0.0,141.0,145,On Time,0,348.0,74.76,4.7
FL14037,2023-03-17,3,Spring,Friday,SkyWing Air,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,06:35,,,,85,Technical,1,182.0,49.0,2.2
FL11236,2023-03-17,3,Spring,Friday,SkyWing Air,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,07:25,10.0,4.0,431.0,430,Crew Availability,0,420.0,432.49,4.3
FL12213,2023-03-17,3,Spring,Friday,PolarAir,Airbus A320,Birmingham,Istanbul,Birmingham → Istanbul,2680,05:05,107.0,102.0,320.0,210,Security,0,84.0,119.79,2.2
FL11345,2023-03-17,3,Spring,Friday,PolarAir,Embraer E190,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,20:35,10.0,3.0,425.0,420,Crew Availability,0,366.0,332.39,3.2
FL14246,2023-03-17,3,Spring,Friday,Atlantic Wings,Boeing 737,Glasgow,Dublin,Glasgow → Dublin,220,19:45,17.0,26.0,73.0,50,Security,0,143.0,69.63,3.3
FL10049,2023-03-17,3,Spring,Friday,NovaStar,Airbus A380,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,05:10,0.0,10.0,444.0,430,On Time,0,103.0,286.37,5.0
FL11082,2023-03-17,3,Spring,Friday,AeroSwift,Boeing 777,Glasgow,Dublin,Glasgow → Dublin,220,09:25,57.0,51.0,104.0,50,Air Traffic Control,0,230.0,49.0,2.8
FL13293,2023-03-18,3,Spring,Saturday,PolarAir,Boeing 737,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,11:20,0.0,3.0,427.0,420,On Time,0,396.0,399.35,3.9
FL13312,2023-03-18,3,Spring,Saturday,PolarAir,Airbus A380,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,15:45,77.0,84.0,833.0,745,Air Traffic Control,0,271.0,608.55,2.9
FL12457,2023-03-18,3,Spring,Saturday,CloudJet,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,18:35,19.0,22.0,108.0,85,Late Aircraft,0,222.0,55.65,3.1
FL10639,2023-03-18,3,Spring,Saturday,NovaStar,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,07:55,0.0,0.0,134.0,135,On Time,0,82.0,89.93,4.0
FL13174,2023-03-18,3,Spring,Saturday,SkyWing Air,Boeing 737,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,15:50,0.0,4.0,751.0,745,On Time,0,,710.18,4.1
FL14076,2023-03-18,3,Spring,Saturday,SkyWing Air,Boeing 787,Glasgow,Dublin,Glasgow → Dublin,220,12:40,20.0,15.0,72.0,50,Crew Availability,0,132.0,80.25,3.6
FL12229,2023-03-18,3,Spring,Saturday,CloudJet,Embraer E190,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,13:40,1.0,8.0,430.0,420,Security,0,195.0,364.11,4.0
FL13036,2023-03-18,3,Spring,Saturday,AeroSwift,Embraer E190,Birmingham,Istanbul,Birmingham → Istanbul,2680,14:35,28.0,33.0,242.0,210,Crew Availability,0,271.0,139.44,3.2
FL12703,2023-03-18,3,Spring,Saturday,Atlantic Wings,Boeing 777,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,09:40,,,,430,Late Aircraft,1,103.0,447.17,2.4
FL14740,2023-03-19,3,Spring,Sunday,SkyWing Air,Airbus A320,Birmingham,Istanbul,Birmingham → Istanbul,2680,21:20,,,,210,Technical,1,344.0,166.85,2.3
FL12990,2023-03-19,3,Spring,Sunday,AeroSwift,Boeing 737,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,14:15,10.0,21.0,171.0,145,Late Aircraft,0,291.0,71.23,4.0
FL11373,2023-03-19,3,Spring,Sunday,NovaStar,Embraer E190,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,10:40,0.0,0.0,93.0,85,On Time,0,296.0,75.14,4.1
FL14516,2023-03-20,3,Spring,Monday,AeroSwift,,Bristol,Malaga,Bristol → Malaga,1620,09:45,9.0,16.0,160.0,145,Security,0,279.0,121.57,4.3
FL14604,2023-03-20,3,Spring,Monday,NovaStar,Embraer E190,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,13:55,0.0,0.0,144.0,145,On Time,0,169.0,102.0,4.3
FL11818,2023-03-20,3,Spring,Monday,PolarAir,Embraer E190,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,13:25,34.0,27.0,166.0,135,Weather,0,412.0,62.31,2.9
FL13276,2023-03-20,3,Spring,Monday,SkyWing Air,Embraer E190,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,10:20,22.0,20.0,160.0,135,Crew Availability,0,85.0,131.39,3.6
FL13917,2023-03-20,3,Spring,Monday,AeroSwift,Boeing 787,London Heathrow,Dubai,London Heathrow → Dubai,5490,09:30,2.0,16.0,429.0,415,Security,0,247.0,247.14,3.7
FL13082,2023-03-20,3,Spring,Monday,Atlantic Wings,Embraer E190,Manchester,Barcelona,Manchester → Barcelona,1440,13:45,21.0,21.0,151.0,130,Security,0,332.0,71.34,
FL11473,2023-03-20,3,Spring,Monday,PolarAir,Airbus A320,Bristol,Malaga,Bristol → Malaga,1620,20:05,8.0,18.0,173.0,145,Air Traffic Control,0,319.0,86.0,3.1
FL10090,2023-03-20,3,Spring,Monday,NovaStar,Boeing 737,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,07:40,0.0,3.0,439.0,430,On Time,0,390.0,270.66,4.8
FL11856,2023-03-21,3,Spring,Tuesday,SkyWing Air,Airbus A380,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,08:45,1.0,11.0,153.0,135,Crew Availability,0,220.0,56.68,4.5
FL11644,2023-03-21,3,Spring,Tuesday,SkyWing Air,Boeing 787,Manchester,Barcelona,Manchester → Barcelona,1440,16:55,6.0,5.0,135.0,130,Air Traffic Control,0,76.0,131.21,3.2
FL14741,2023-03-21,3,Spring,Tuesday,CloudJet,Boeing 777,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,11:30,11.0,10.0,96.0,85,Technical,0,257.0,49.0,3.4
FL11522,2023-03-21,3,Spring,Tuesday,CloudJet,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,22:20,13.0,25.0,463.0,430,Crew Availability,0,108.0,373.05,3.4
FL13449,2023-03-21,3,Spring,Tuesday,NovaStar,Boeing 737,Manchester,Barcelona,Manchester → Barcelona,1440,11:15,0.0,7.0,136.0,130,On Time,0,229.0,58.91,4.8
FL12928,2023-03-21,3,Spring,Tuesday,AeroSwift,Airbus A320,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,08:20,0.0,12.0,753.0,745,On Time,0,359.0,537.31,4.8
FL12530,2023-03-21,3,Spring,Tuesday,CloudJet,Boeing 737,Bristol,Malaga,Bristol → Malaga,1620,14:45,,,,145,Weather,1,144.0,99.33,1.5
FL10119,2023-03-22,3,Spring,Wednesday,CloudJet,Boeing 777,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,16:40,4.0,16.0,98.0,85,Air Traffic Control,0,317.0,68.49,4.0
FL13771,2023-03-22,3,Spring,Wednesday,NovaStar,Airbus A320,Bristol,Malaga,Bristol → Malaga,1620,12:35,,,,145,Security,1,206.0,72.45,1.8
FL14501,2023-03-22,3,Spring,Wednesday,CloudJet,Boeing 787,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,13:10,12.0,4.0,744.0,745,Weather,0,192.0,666.82,4.4
FL11216,2023-03-22,3,Spring,Wednesday,AeroSwift,Airbus A380,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,15:05,2.0,10.0,152.0,135,Air Traffic Control,0,90.0,118.09,3.0
FL11978,2023-03-22,3,Spring,Wednesday,NovaStar,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,07:25,0.0,0.0,140.0,135,On Time,0,179.0,129.29,4.4
FL14306,2023-03-22,3,Spring,Wednesday,AeroSwift,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,13:40,5.0,2.0,86.0,85,Security,0,197.0,49.0,4.3
FL13977,2023-03-22,3,Spring,Wednesday,Atlantic Wings,Boeing 777,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,08:20,26.0,30.0,447.0,420,Technical,0,96.0,388.39,
FL11810,2023-03-22,3,Spring,Wednesday,CloudJet,Boeing 787,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,09:55,2.0,16.0,149.0,135,Security,0,398.0,83.94,4.0
FL12080,2023-03-23,3,Spring,Thursday,AeroSwift,Boeing 787,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,19:40,0.0,1.0,749.0,745,On Time,0,272.0,558.5,4.6
FL12496,2023-03-23,3,Spring,Thursday,AeroSwift,Boeing 737,Bristol,Malaga,Bristol → Malaga,1620,11:15,16.0,27.0,182.0,145,Late Aircraft,0,155.0,70.62,3.1
FL14248,2023-03-23,3,Spring,Thursday,PolarAir,Boeing 777,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,12:05,79.0,73.0,819.0,745,Crew Availability,0,141.0,624.48,2.4
FL13098,2023-03-23,3,Spring,Thursday,NovaStar,Boeing 777,Glasgow,Dublin,Glasgow → Dublin,220,18:35,19.0,27.0,72.0,50,Technical,0,407.0,49.0,4.3
FL11882,2023-03-23,3,Spring,Thursday,NovaStar,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,07:40,0.0,2.0,135.0,135,On Time,0,191.0,101.24,4.8
FL12116,2023-03-23,3,Spring,Thursday,Atlantic Wings,Airbus A320,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,13:50,0.0,0.0,423.0,420,On Time,0,386.0,425.31,4.6
FL13288,2023-03-24,3,Spring,Friday,Atlantic Wings,Boeing 737,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,08:15,15.0,27.0,164.0,135,Weather,0,322.0,129.1,4.0
FL14163,2023-03-24,3,Spring,Friday,PolarAir,Boeing 737,Bristol,Malaga,Bristol → Malaga,1620,19:15,,,,145,Late Aircraft,1,416.0,102.83,1.5
FL13542,2023-03-24,3,Spring,Friday,NovaStar,Airbus A380,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,11:50,0.0,11.0,763.0,745,On Time,0,260.0,528.41,4.0
FL10476,2023-03-24,3,Spring,Friday,PolarAir,Airbus A380,Bristol,Malaga,Bristol → Malaga,1620,07:25,3.0,0.0,148.0,145,Technical,0,319.0,114.25,3.1
FL11803,2023-03-24,3,Spring,Friday,SkyWing Air,Airbus A380,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,08:45,9.0,21.0,162.0,135,Air Traffic Control,0,192.0,104.54,4.4
FL13158,2023-03-24,3,Spring,Friday,NovaStar,Embraer E190,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,10:10,0.0,0.0,420.0,420,On Time,0,159.0,320.86,3.8
FL14915,2023-03-24,3,Spring,Friday,CloudJet,Airbus A380,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,07:25,86.0,101.0,516.0,420,Air Traffic Control,0,352.0,320.6,3.0
FL10598,2023-03-25,3,Spring,Saturday,CloudJet,Boeing 787,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,14:35,4.0,18.0,770.0,745,Weather,0,210.0,699.27,3.9
FL14596,2023-03-25,3,Spring,Saturday,AeroSwift,Boeing 787,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,16:00,7.0,9.0,155.0,145,Technical,0,147.0,104.14,3.4
FL11688,2023-03-26,3,Spring,Sunday,CloudJet,,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,06:05,28.0,20.0,458.0,430,Late Aircraft,0,152.0,385.15,3.4
FL11872,2023-03-26,3,Spring,Sunday,NovaStar,Embraer E190,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,09:00,2.0,0.0,152.0,145,Crew Availability,0,388.0,83.39,3.6
FL13788,2023-03-26,3,Spring,Sunday,CloudJet,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,09:10,0.0,9.0,103.0,85,On Time,0,130.0,108.27,4.7
FL12778,2023-03-26,3,Spring,Sunday,CloudJet,Boeing 777,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,11:15,22.0,33.0,113.0,85,Technical,0,86.0,89.74,3.5
FL11704,2023-03-26,3,Spring,Sunday,CloudJet,Boeing 777,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,12:10,0.0,0.0,426.0,430,On Time,0,203.0,392.54,3.8
FL10611,2023-03-26,3,Spring,Sunday,SkyWing Air,Boeing 777,Bristol,Malaga,Bristol → Malaga,1620,22:40,26.0,36.0,191.0,145,Security,0,200.0,87.0,4.0
FL13937,2023-03-26,3,Spring,Sunday,SkyWing Air,Embraer E190,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,21:30,12.0,19.0,160.0,145,Late Aircraft,0,103.0,123.79,4.4
FL12862,2023-03-26,3,Spring,Sunday,Atlantic Wings,Boeing 737,Manchester,Barcelona,Manchester → Barcelona,1440,10:15,19.0,29.0,155.0,130,Crew Availability,0,248.0,97.42,3.9
FL13433,2023-03-26,3,Spring,Sunday,PolarAir,Airbus A320,Glasgow,Dublin,Glasgow → Dublin,220,09:05,18.0,29.0,81.0,50,Weather,0,283.0,49.0,4.1
FL13988,2023-03-26,3,Spring,Sunday,Atlantic Wings,Boeing 777,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,05:55,75.0,68.0,502.0,430,Crew Availability,0,66.0,385.27,3.0
FL14859,2023-03-26,3,Spring,Sunday,PolarAir,Airbus A320,Glasgow,Dublin,Glasgow → Dublin,220,08:05,64.0,74.0,133.0,50,Technical,0,325.0,58.08,2.6
FL12557,2023-03-26,3,Spring,Sunday,PolarAir,Airbus A380,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,13:45,8.0,23.0,456.0,430,Crew Availability,0,220.0,369.21,4.3
FL12183,2023-03-26,3,Spring,Sunday,AeroSwift,Boeing 777,Birmingham,Istanbul,Birmingham → Istanbul,2680,06:40,20.0,12.0,231.0,210,Air Traffic Control,0,172.0,168.54,3.7
FL14400,2023-03-27,3,Spring,Monday,AeroSwift,Airbus A320,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,11:10,22.0,32.0,784.0,745,Weather,0,184.0,564.1,3.2
FL11259,2023-03-27,3,Spring,Monday,Atlantic Wings,Boeing 787,Manchester,Barcelona,Manchester → Barcelona,1440,07:05,14.0,11.0,146.0,130,Late Aircraft,0,349.0,137.7,3.5
FL14152,2023-03-27,3,Spring,Monday,AeroSwift,Boeing 737,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,08:50,4.0,1.0,438.0,430,Late Aircraft,0,170.0,282.09,3.9
FL14584,2023-03-27,3,Spring,Monday,Atlantic Wings,Boeing 777,Leeds Bradford,Alicante,Leeds Bradford → Alicante,1590,09:10,60.0,73.0,221.0,145,Technical,0,116.0,86.32,3.2
FL14965,2023-03-27,3,Spring,Monday,AeroSwift,Boeing 737,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,12:55,0.0,0.0,753.0,745,On Time,0,71.0,562.51,4.2
FL10786,2023-03-27,3,Spring,Monday,SkyWing Air,Boeing 737,Glasgow,Dublin,Glasgow → Dublin,220,15:35,0.0,0.0,49.0,50,On Time,0,266.0,49.0,4.5
FL11192,2023-03-27,3,Spring,Monday,AeroSwift,Airbus A380,Birmingham,Istanbul,Birmingham → Istanbul,2680,18:45,35.0,46.0,265.0,210,Security,0,,115.35,3.3
FL10938,2023-03-27,3,Spring,Monday,CloudJet,Boeing 787,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,22:35,,,,135,Security,1,273.0,81.18,2.5
FL13604,2023-03-27,3,Spring,Monday,NovaStar,Boeing 737,Bristol,Malaga,Bristol → Malaga,1620,09:00,2.0,9.0,161.0,145,Crew Availability,0,182.0,87.68,4.1
FL10649,2023-03-27,3,Spring,Monday,CloudJet,Boeing 787,Manchester,Barcelona,Manchester → Barcelona,1440,19:45,,,,130,Weather,1,114.0,144.15,1.8
FL11222,2023-03-28,3,Spring,Tuesday,PolarAir,Boeing 787,Bristol,Malaga,Bristol → Malaga,1620,11:30,4.0,3.0,152.0,145,Crew Availability,0,390.0,133.57,4.0
FL10624,2023-03-28,3,Spring,Tuesday,Atlantic Wings,,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,21:35,12.0,4.0,138.0,135,Late Aircraft,0,305.0,136.28,3.7
FL14525,2023-03-28,3,Spring,Tuesday,NovaStar,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,10:05,6.0,0.0,430.0,430,Technical,0,,322.39,3.6
FL14416,2023-03-28,3,Spring,Tuesday,NovaStar,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,06:50,0.0,0.0,130.0,135,On Time,0,228.0,79.79,4.5
FL14857,2023-03-29,3,Spring,Wednesday,NovaStar,Boeing 737,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,10:40,0.0,0.0,748.0,745,On Time,0,194.0,538.26,4.3
FL10282,2023-03-29,3,Spring,Wednesday,CloudJet,Airbus A380,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,19:55,17.0,22.0,106.0,85,Crew Availability,0,142.0,57.63,3.3
FL13209,2023-03-29,3,Spring,Wednesday,AeroSwift,Boeing 737,London Heathrow,Dubai,London Heathrow → Dubai,5490,07:00,43.0,43.0,459.0,415,Crew Availability,0,98.0,292.55,2.0
FL13042,2023-03-29,3,Spring,Wednesday,AeroSwift,Boeing 787,Bristol,Malaga,Bristol → Malaga,1620,10:10,0.0,0.0,140.0,145,On Time,0,216.0,86.97,4.2
FL10561,2023-03-29,3,Spring,Wednesday,CloudJet,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,20:55,67.0,73.0,153.0,85,Late Aircraft,0,251.0,82.86,2.2
FL11176,2023-03-29,3,Spring,Wednesday,PolarAir,Embraer E190,London Heathrow,Singapore Changi,London Heathrow → Singapore Changi,10840,08:00,12.0,8.0,757.0,745,Technical,0,331.0,695.2,4.0
FL11396,2023-03-29,3,Spring,Wednesday,NovaStar,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,17:40,8.0,9.0,148.0,135,Technical,0,259.0,132.28,3.4
FL14293,2023-03-30,3,Spring,Thursday,SkyWing Air,Airbus A320,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,13:00,5.0,14.0,446.0,430,Weather,0,137.0,353.08,4.0
FL10193,2023-03-30,3,Spring,Thursday,SkyWing Air,Airbus A380,Manchester,Barcelona,Manchester → Barcelona,1440,07:45,18.0,21.0,156.0,130,Late Aircraft,0,131.0,115.78,3.4
FL10117,2023-03-30,3,Spring,Thursday,SkyWing Air,Airbus A320,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,12:55,12.0,20.0,163.0,135,Late Aircraft,0,354.0,163.34,3.1
FL14342,2023-03-30,3,Spring,Thursday,SkyWing Air,Airbus A320,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,09:55,6.0,2.0,143.0,135,Late Aircraft,0,328.0,73.43,4.0
FL13450,2023-03-30,3,Spring,Thursday,SkyWing Air,Airbus A320,Manchester,Barcelona,Manchester → Barcelona,1440,21:15,3.0,6.0,143.0,130,Weather,0,292.0,134.49,4.0
FL11754,2023-03-30,3,Spring,Thursday,NovaStar,Boeing 777,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,13:25,3.0,0.0,418.0,420,Late Aircraft,0,265.0,256.37,4.4
FL11050,2023-03-30,3,Spring,Thursday,SkyWing Air,Boeing 737,Manchester,Barcelona,Manchester → Barcelona,1440,06:10,19.0,33.0,164.0,130,Security,0,305.0,131.07,4.5
FL11249,2023-03-30,3,Spring,Thursday,CloudJet,Airbus A320,Manchester,Barcelona,Manchester → Barcelona,1440,10:55,8.0,23.0,155.0,130,Air Traffic Control,0,285.0,95.64,3.1
FL14206,2023-03-31,3,Spring,Friday,CloudJet,Boeing 787,Bristol,Malaga,Bristol → Malaga,1620,06:50,6.0,19.0,169.0,145,Weather,0,253.0,143.8,3.2
FL10657,2023-03-31,3,Spring,Friday,AeroSwift,Boeing 737,Birmingham,Istanbul,Birmingham → Istanbul,2680,06:00,1.0,8.0,216.0,210,Technical,0,90.0,152.76,4.4
FL12270,2023-03-31,3,Spring,Friday,CloudJet,Boeing 737,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,20:25,51.0,63.0,201.0,135,Air Traffic Control,0,302.0,68.39,2.8
FL12759,2023-03-31,3,Spring,Friday,PolarAir,Boeing 737,Birmingham,Istanbul,Birmingham → Istanbul,2680,22:20,18.0,13.0,223.0,210,Air Traffic Control,0,280.0,225.26,3.4
FL13165,2023-03-31,3,Spring,Friday,SkyWing Air,Boeing 737,Glasgow,Dublin,Glasgow → Dublin,220,13:05,0.0,4.0,63.0,50,On Time,0,416.0,49.0,4.7
FL12473,2023-03-31,3,Spring,Friday,CloudJet,Boeing 737,Manchester,Barcelona,Manchester → Barcelona,1440,10:55,11.0,24.0,154.0,130,Technical,0,77.0,134.21,4.2
FL14171,2023-03-31,3,Spring,Friday,NovaStar,Boeing 777,Birmingham,Istanbul,Birmingham → Istanbul,2680,10:25,25.0,24.0,231.0,210,Weather,0,341.0,156.05,3.7
FL12024,2023-03-31,3,Spring,Friday,AeroSwift,Boeing 737,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,19:55,34.0,30.0,451.0,420,Crew Availability,0,331.0,304.54,3.3
FL10369,2023-03-31,3,Spring,Friday,SkyWing Air,Airbus A320,London Heathrow,Dubai,London Heathrow → Dubai,5490,06:10,25.0,26.0,441.0,415,Security,0,293.0,346.43,4.1
FL14141,2023-03-31,3,Spring,Friday,Atlantic Wings,Airbus A380,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,15:50,36.0,41.0,467.0,420,Weather,0,344.0,394.66,2.8
FL10056,2023-04-01,4,Spring,Saturday,CloudJet,Airbus A320,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,21:30,42.0,34.0,178.0,135,Crew Availability,0,271.0,107.36,2.1
FL11627,2023-04-01,4,Spring,Saturday,NovaStar,Boeing 737,Glasgow,Dublin,Glasgow → Dublin,220,08:45,5.0,14.0,71.0,50,Security,0,395.0,49.0,4.2
FL14500,2023-04-01,4,Spring,Saturday,CloudJet,Boeing 777,Glasgow,Dublin,Glasgow → Dublin,220,09:05,25.0,30.0,82.0,50,Technical,0,368.0,49.0,3.3
FL13176,2023-04-01,4,Spring,Saturday,CloudJet,Boeing 777,London Heathrow,Toronto Pearson,London Heathrow → Toronto Pearson,5730,08:55,0.0,3.0,431.0,430,On Time,0,303.0,326.87,4.0
FL13808,2023-04-01,4,Spring,Saturday,NovaStar,Airbus A380,London Heathrow,Dubai,London Heathrow → Dubai,5490,11:55,0.0,0.0,417.0,415,On Time,0,247.0,274.12,4.0
FL12458,2023-04-02,4,Spring,Sunday,Atlantic Wings,Airbus A320,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,06:30,102.0,113.0,200.0,85,Late Aircraft,0,396.0,94.89,2.5
FL12669,2023-04-02,4,Spring,Sunday,PolarAir,Airbus A380,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,08:05,4.0,18.0,158.0,135,Late Aircraft,0,187.0,82.38,3.2
FL10492,2023-04-02,4,Spring,Sunday,SkyWing Air,Boeing 737,Edinburgh,Amsterdam,Edinburgh → Amsterdam,700,16:30,2.0,14.0,97.0,85,Technical,0,212.0,68.26,3.7
FL11011,2023-04-02,4,Spring,Sunday,PolarAir,Airbus A320,London Gatwick,Rome Fiumicino,London Gatwick → Rome Fiumicino,1430,05:20,40.0,40.0,175.0,135,Late Aircraft,0,146.0,109.18,2.3
FL12796,2023-04-02,4,Spring,Sunday,PolarAir,Airbus A320,London Heathrow,New York JFK,London Heathrow → New York JFK,5570,22:15,35.0,28.0,446.0,420,Weather,0,404.0,312.26,2.2
FL10093,2023-04-03,4,Spring,Monday,NovaStar,Boeing 777,London Stansted,Warsaw Chopin,London Stansted → Warsaw Chopin,1470,15:35,8.0,23.0,167.0,135,Weather,0,352.0,73.09,4.0
